judge_number,judge_date,transfer_agency,transfer_date,happened_date,who_report,misinformation_place,misinformation_issue,misinformation_content,penalty_or_not,administrative_fine,reason
臺灣士林地方法院裁定108年度士秩字第182號,2019/12/30,新北市政府警察局淡水分局,2019/12/6,2019/11/8,,臉書,政治人物謠言,蔡英文帶她家貓去看醫生，大概有百人陪那一隻貓去看醫生！,不罰,,超過2個月
臺灣臺北地方法院裁定108年度北秩字第537號,2019/12/30,臺北市政府警察局中山分局,2019/10/31,2019/9/29,,PTT,政治人物謠言,最新！吳敦義將啟動滅韓計畫！,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院刑事裁定108年度秩抗字第14號,2019/12/30,抗告，108年度北秩字第352號,,,,臉書,災害謠言,施政好不好？下個雨就知道。怎麼？這次下雨都是綠獨縣市（屏東、新竹、臺南、桃園、基隆）淹水,抗告駁回,,
臺灣臺北地方法院裁定108年度北秩字第470號,2019/12/30,臺北市政府警察局中山分局,2019/10/4,2019/8/22,,PTT,政治人物謠言,韓國瑜於5/1（三）上午去世（下一行）新大學進行校園座談,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣彰化地方法院刑事簡易庭裁定108年度秩字第192號,2019/12/31,南投縣政府警察局南投分局,2019/12/13,2019/12/1,,臉書,施政謠言,韓國瑜的民調快速下滑，就是因為中華電信控制了這些民調電話的母數，當民調公司需要做民調時，他們必須向中華電信請求提供電話號碼做為母數，而這些韓粉的電話資料就會被過濾掉，所以韓粉們根本接不到民調電話,罰,10000元,
臺灣基隆地方法院刑事裁定108年度基秩字第125號,2019/12/31,基隆市警察局第一分局,2019/11/1,2019/10/1,,LINE,政治人物謠言,不是政府的錯？蔡英文竟然說：發生的油罐車失火造成橋面斷裂,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院鳳山簡易庭裁定108年度鳳秩字第143號,2019/12/31,屏東縣政府警察局,2019/12/25,2019/11/15,,臉書,攻擊政治人物,NicoleLu我就差沒有槍，不然真的會一槍一槍慢慢的折磨他到說不要不要的，真是個敗類，嘴。,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣澎湖地方法院裁定108年度馬秩字第40號,2019/12/31,澎湖縣政府警察局馬公分局,2019/12/12,2019/10/31,,LINE,兩岸相關,許多民調機構已經不知不覺被中國收買，甚至直接由中共代理人成立,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定108年度桃秩字第249號,2019/12/31,桃園市政府警察局大園分局,2019/12/18,2019/12/3,,Dcard,其他,警察比較廢還是軍人比較廢,管轄錯誤,,移送臺北地方法院
臺灣桃園地方法院裁定108年度桃秩字第248號,2019/12/31,桃園市政府警察局大園分局,2019/12/18,2019/12/14,,臉書,批評執政者,這是蘇啟誠的訣別書，文官的風骨，最少做到言所當言（這不是假新聞），其中『滿城盡是血滴子，外行領導專職人』明白的寫外交公職職場內鬥及無奈，但執政的外交部、立院、總統府、由內到外都反咬在野，更無反思，真是無…到極點！,管轄錯誤,,移送臺灣苗栗地方法院
臺灣桃園地方法院裁定108年度桃秩字第246號,2019/12/31,桃園市政府警察局大溪分局,2019/12/13,2019/12/9,,臉書,批評執政者,日本1億2700萬人口~愛滋病患者約2萬人。韓國5000萬人口~愛滋病患者約1萬人。台灣2300萬人口~愛滋病患者已暴衝3萬3600人，果然是亞洲4小龍之首!恭賀菜式藥廠大發利市!台灣新增愛滋以每天約6人的速度持續增加中，其中近九成為男男性行為,罰,3000元,
臺灣桃園地方法院裁定108年度桃秩字第230號,2019/12/31,桃園市政府警察局桃園分局,2019/11/29,2019/10/15,,臉書,政治人物謠言,覆王基萬:蔡家族在中國有龐大物流租賃產業，每年坐收160億營利，她做總統，其家族跟習近平要了更多的土地。她眼裡沒有台灣及台灣人,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定108年度桃秩字第200號,2019/12/31,臺中市政府警察局第一分局,2019/11/4,2019/9/4,,臉書,批評執政者,選了民進黨所以國庫耗費4177萬！將迴廊屋頂琉璃由藍色換成綠色！這是中正紀念堂現在進行的工作！日前曾德堂學長的同學吳教授於九三軍人節經過，拍下工程說明！耗費國庫4177萬有變美觀嗎？如果你說有，病的不輕啊，快就醫吧…如果不就醫，害蟲消散了，社會之福,移送駁回,,超過2個月
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第258號,2019/12/31,新北市政府警察局中和分局,2019/9/5,2019/7/25,,臉書,施政謠言,陳菊時代興建楠梓區污水水泥管偷工減料，竟是用保麗龍做的。楠梓汙水整建工程水泥管竟是保麗龍。#拍電影道具嗎？#貪到無天良#草菅人命,不罰,,難認定是故意散播不實事實
臺灣臺南地方法院臺南簡易庭秩事裁定108年度南秩字第148號,2019/12/31,臺南市政府警察局第六分局,2019/12/13,2019/10/14,,臉書,政治人物謠言,蔡總統2014年因不道德行為或未遵守紐約州律師規則而遭紐約司法部門暫停紐約州律師執業資格,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度北秩字第624號,2019/12/31,臺北市政府警察局松山分局,2019/12/3,2019/10/30,,臉書,施政謠言,蔡英文總統取消愛滋感染者入境限制，係為了增加愛滋罹患人數，進而獲取藥商之龐大利益,罰,2000元,
臺灣苗栗地方法院簡易庭裁定108年度苗秩字第37號,2020/1/2,苗栗縣警察局頭份分局,2019/11/27,2019/11/4,員警,臉書,施政謠言,臺灣農民真幸福！么壽蔡英文政府政策買票？1、加碼老農津貼。2、補助小農農機8億元，富農覺得太少，再加碼8億元（每台百萬）。3、不但有老農津貼可領，又可以有退休金了這麼幸福的台灣農民，令人羨慕不已，但是命苦的我「沒有農地」，如果我可以當「假農民」？也可以一樣「幸福」！,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院裁定109年度湖秩字第5號,2020/1/2,臺北市政府警察局南港分局,2019/12/20,2018/11/16,,臉書,施政謠言,民進黨計畫在2025年之前消滅故宮,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院橋頭簡易庭裁定108年度橋秩字第112號,2020/1/6,屏東縣政府警察局,2019/12/23,2019/11/16,,臉書,攻擊政治人物,這種通敵的人應該要暗殺才對,罰,3000元,
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第417號,2020/1/6,新北市政府警察局三峽分局,2019/12/23,2019/12/9,,臉書,疾病謠言,台灣新增愛滋以每天約6人的速度持續增加中，其中近九成為男男性行為,不罰,,無足以影響公共安寧
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第416號,2020/1/6,新北市政府警察局三峽分局,2019/12/23,2019/12/16,,LINE,選務謠言,李進勇叫印票廠商在2號韓的蓋章處印上一層薄薄的、肉眼難看出的臘或是油脂，讓蓋票章上的紅墨水乾不了，選票一折，很容易就花掉，變成廢票,罰,1000元,
臺灣臺中地方法院裁定109年度豐秩字第1號,2020/1/6,臺中市政府警察局和平分局,2019/12/14,2019/10/30,,臉書,施政謠言,針對原住民委員會將非原住民區之土地劃分為原住民保留地等行為，而認為平地人遭受到不平等對待,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定108年度桃秩字第247號,2020/1/7,桃園市政府警察局大園分局,2019/12/16,2019/11/21,,臉書,施政謠言,新型警車箭頭所指處是隱形攝影機，直接開單，就可逕行舉發,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣南投地方法院裁定109年度埔秩字第1號,2020/1/8,南投縣政府警察局埔里分局,2019/12/26,2019/10/16,,臉書,批評執政者,蔡蟲政府口口聲聲說民主，什麼民主，上任扭曲一大堆，能給台灣信任嗎？又不尊重國旗，用完甩掉中華民國國旗對嗎？,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣苗栗地方法院刑事裁定109年度苗秩抗字第1號,2020/1/9,抗告，108年度苗秩字第39號裁定,2019/12/6,2019/11/18,,臉書,選務謠言,民進黨輸不起，作票奧步一一浮現！！！全民監票，中選會已準備要作票，他們已找好自己人，訓練他們如何作票，請大家集思廣益，如何防堵？（原選務人員都不用，用學生，一定有鬼）,抗告駁回,,
臺灣士林地方法院裁定109年度湖秩字第3號,2020/1/9,臺北市政府警察局內湖分局,2019/12/27,2019/12/6,,報導,政治人物謠言,國民黨青年團成立之後積極擴充成員，計畫尋找一些知名青年，包括卡神楊蕙如跟藝人舒淇，都成為鎖定對象,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院裁定109年度湖秩字第2號,2020/1/9,桃園市政府警察局中壢分局,2019/12/24,2019/12/6,,臉書,政治人物謠言,大阪外館每個人考績打丙等！原因就是因為讓長廷不開心！#好個管不到大阪辦事處#別讓長仔不開心。朱學恆指出：包含謝長廷、楊蕙如這一掛在網路上打造輿論，第一，他（蘇啟誠）原來就有憂鬱症；第二，不是謝長廷的責任。#楊蕙如幫忙帶風向,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定109年度店秩字第4號,2020/1/9,桃園市政府警察局中壢分局,2019/12/17,2019/12/9,,臉書,政治人物謠言,據台灣媒體報導，12月6日多名國民黨立委到台當局外交部抗議蘇啟誠案，過程中遭蔡英文當局反動勢力推擾，國民黨立委陳玉珍被夾到手身受重傷，情況危急。據一名國民黨議員稱，蔡當局把陳玉珍夾到缺氧。事發後，韓國瑜等國民黨人前往醫院重症急救區探望陳立委，令人心痛的是，陳立委已經沒有了心跳。,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度壢秩字第3號,2020/1/9,桃園市政府警察局蘆竹分局,2019/12/30,,,臉書,施政謠言,民進黨已經通過了毒品條例了，校園內現在可以擁有50公克的毒品，才被視同販毒。台灣除了是(同性戀島)(愛滋病島)現場又增加了一個(毒品島)了，校園毒品零容忍遭封殺，藍委提嚴刑峻法被綠委攔阻-政治-中時,不罰,,正常智識者可判斷真偽，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院簡易庭刑事裁定109年度竹秩字第13號,2020/1/10,桃園市政府警察局中壢分局,2020/1/2,2019/11/16,,臉書,選務謠言,還要在選票上簽名蓋章，才能證明自己是驕傲的鋼鐵韓粉,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院簡易庭裁定109年度竹北秩字第5號,2020/1/10,桃園市政府警察局大園分局,2019/12/31,2019/11/17,,臉書,選務謠言,有人特別提醒啊！大家要注意啊！以前國中同事說的。我是11/24大安區古亭國小選務人員，說好的明年1/11，還是我們原班人馬做選務。十月初，無聲無息，我打電話去問，我們整批都無預警被換掉了……奇怪的是，往年選務一直都是缺人的，怎麼今年在十月初也沒有對外公告，就一批人取代我們了！？就怕鄉下地方，沒人全程監票。一轉眼整箱票櫃換掉，或是一堆植物人躺床者的票，都被抽出來投給蔡英文，這些做手腳的方法很多、很容易的。重要：轉傳,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度桃秩字第2號,2020/1/10,桃園市政府警察局蘆竹分局,2019/12/30,2019/11/28,,臉書,政治人物謠言,拒投韓國瑜，幫國家省一億,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院裁定109年度士秩字第7號,2020/1/10,新北市政府警察局淡水分局,2019/12/23,2019/12/1,,臉書,施政謠言,行政院宣布明天全國放假一天慶祝擊敗韓國,不罰,,正常智識者可判斷真偽
臺灣桃園地方法院裁定109年度壢秩字第4號,2020/1/10,桃園市政府警察局大園分局,2019/12/30,2019/12/10,員警,臉書,選務謠言,大家留意一下：警察局警告，有一群人逐家逐戶拍門，假裝是〔內政部〕官員。它們持有〔內政部〕信箋的文件，並聲稱要確認每個人都有一個有效的身分證件，為即將舉行的選舉（或公投）預備（或調查）。他們其實是入屋打劫。注意！政府『沒有』這個行動。請轉發到您朋友或左右的鄰居，朋友群聊。這班人無處不在，看起來好大方得體。請小心！請小心！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院高雄簡易庭裁定109年度雄秩字第5號,2020/1/13,高雄市政府警察局小港分局,2019/12/24,2019/11/12,,臉書,施政謠言,蔡英文沒招了，民進黨除了抹黑栽贓以外，剩下一帖藥給選民服用。就是下個月發放超收稅款給每位國民2500到3600的福利金挽救選情,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定109年度重秩字第7號,2020/1/13,新北市政府警察局三重分局,2019/12/31,2019/11/30,,臉書,政治人物謠言,黃國昌！你攪什麼局啦！國民黨哪個不包山包海包賭包娼包砂石包工程？你沒有聽過包公喔？大驚小怪。人家討論痔瘡正精彩，全被你吸引去看公文了！害我們都不能關心嚴肅的肛門靜脈曲張議題！韓導的屁眼健康比較重要啦！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院橋頭簡易庭裁定109年度橋秩字第4號,2020/1/13,屏東縣政府警察局東港分局,2020/1/2,2019/12/31,,臉書,選務謠言,這才是真正的奧步─！奧步已經開始了！距離大選只剩13天。沒有人收到選舉公報和投票通知書。奧步已經開始了！……往年投票前兩週早就收到了。今年中選會說投票前兩天才會寄到。為什麼要這麼晚才寄？萬一有錯，如果有人沒收到，不知道要去哪裡投票，要補發都來不及。……為什麼要把時間掐的這麼緊？趕快打電話去中選會。開罵啊！抗議啊,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺南地方法院新市簡易庭裁定109年度新秩字第1號,2020/1/13,臺南市政府警察局永康分局,2019/12/31,2019/12/20,,臉書,施政謠言,新政府政策攻防-校園攜毒免罰,不罰,,非故意散發傳布虛偽事實
臺灣桃園地方法院裁定109年度壢秩字第6號,2020/1/13,桃園市政府警察局楊梅分局,2019/12/26,2019/12/21,,臉書,政治人物謠言,整場政見發表會，韓國瑜只講了三句話，幹話、空話、廢話，你不講話人家還不知道你是草包,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣嘉義地方法院裁定109年度嘉秩字第3號,2020/1/13,嘉義市政府警察局第一分局,2020/1/3,2019/12/24,,臉書,施政謠言,菜政府真的瘋了？？國民黨沈智慧提案修法校園毒品零容忍，「一克都不能留」！但被民進黨團封殺，把處罰標準放寬到「持有50包各0.1公克，才有刑責處罰。」請問：有哪個家長能接受孩子帶於5克的毒品到學校？,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺南地方法院臺南簡易庭裁定109年度南秩字第3號,2020/1/13,臺南市政府警察局第一分局,2019/12/31,2019/8/26,法務部調查局,YouTube,政治人物謠言,總統蔡英文、前總統李登輝及綠黨（指民進黨）為詐騙集團，綠黨不斷抹黑國民黨，並媚日承認自己是日本人、出賣釣魚台、日本核食輸臺（毒害臺灣人），並稱綠黨為日本帝國遺族，出賣臺灣，繼續日本帝國王朝，臺灣慰安婦被欺負，說是自願，而綠黨為什麼不獨立，因為日本帝國遺族要統一臺灣,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院臺北簡易庭裁定109年度北秩字第11號,2020/1/13,桃園市政府警察局中壢分局,2019/12/23,2019/12/13,,臉書,選務謠言,目前大家都在猜測懷疑，綠蛆日奴的冥盡洞還有一個大核彈的奧步是：中選會叫印票廠商在2號的蓋章處印上一層薄薄的，但肉眼難以看出來的蠟或是油脂，讓蓋票章上的紅墨水乾不了，選票一折，很容易就花掉，變成廢票。3號的蓋章處則是正常的，容易吸收紅墨水的紙張。如此可製造大量韓粉的票成為廢票，殺人於無形，造成詐菜大勝，還可拿詐菜民調一路領先當佐證。除非有人能把可疑的選票帶出來做化學驗證，而且能證明這選票是中選會印的，否則很難揭穿冥盡洞的詭計。,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣南投地方法院裁定109年度投秩字第1號,2020/1/14,南投縣政府警察局南投分局,2019/12/31,2019/12/25,,臉書,政治人物謠言,想像一下選輸的台灣1/11~5/19瘋狂的移民潮5/20韓國瑜就任當天立即宣佈成立特偵組火速把民進黨所有人抓起來包括蔡英文全部關進去羈押開始漫長的偵查不公開，或者邱毅講的全部斬首。取消AIT和各國的各種合作or各種白木得罪，關閉在台大使館。關掉fbLine。大約一個禮拜後6月前宣佈回歸中國一國兩制完成統一人民開始街頭抗議&政府的血腥鎮壓開始一堆人被消失被自殺解放軍登台開始留島不留人的清除作業。大量的來路不明器捐發生在台灣各地年輕女性被送中男性大量失蹤…,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度壢秩字第14號,2020/1/14,屏東縣政府警察局,2020/1/9,2019/11/14,,臉書,攻擊政治人物,怕啥？只要任何一個上，我就殺一個!,不受理,,避免「一事兩罰」
臺灣桃園地方法院裁定109年度壢秩字第8號,2020/1/14,桃園市政府警察局楊梅分局,2019/12/30,2019/12/29,,臉書,批評執政者,請大家告訴大家，民進黨是如何搞錢的，是怎樣掏空台灣的,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第9號,2020/1/15,高雄市政府警察局鳳山分局,2020/1/10,2019/12/4,員警,臉書,攻擊政治人物,宰了它全家,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第7號,2020/1/15,屏東縣政府警察局東港分局,2020/1/2,2019/12/31,,臉書,選務謠言,奧步已經開始了，距離大選只剩13天，沒有人收到選舉公報和投票通知書，往年投票前兩週早就收到了，今年中選會說投票前兩天才會寄到。為什麼要這麼晚才寄？萬一有錯，如果有人沒收到，不知道要去哪裡投票，要補發都來不及。趕快打電話去中選會，開罵啊！抗議啊！,罰,4000元,
臺灣新竹地方法院竹北簡易庭裁定109年度竹北秩字第6號,2020/1/15,屏東縣政府警察局,2019/12/30,2019/11/26,,臉書,攻擊政治人物,搞死妳，一槍弊命看看還怎麼選哈哈哈哈哈哈哈哈…,罰,3000元,
臺灣澎湖地方法院裁定109年度馬秩字第1號,2020/1/16,澎湖縣政府警察局馬公分局,2020/1/9,2019/12/2,,臉書,選務謠言,重要提醒，冥禁黨無所不用其極，明年大選除了堅持投韓總以外，記得一定要在選票上簽名，才不會被國家機器做掉！請所有韓家軍幫忙分享,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院旗山簡易庭裁定109年度旗秩字第1號,2020/1/16,高雄市政府警察局旗山分局,2020/1/10,2019/12/10,,臉書,批評執政者,這次選舉7大史上最大綠奧步－加4大藍解招（請記牢－響應－轉貼）。台灣人民要人人警覺－人人檢舉！柯都已經查覺到作票可能已經在佈局了…（必看）,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺南地方法院新市簡易庭裁定109年度新秩字第2號,2020/1/16,臺南市政府警察局善化分局,2019/12/26,,,臉書,社會案件,小朋友跟媽媽走失人，走到防暴警察前面，要麻煩警察幫忙，結果警察隊他噴胡椒水..,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定109年度北秩字第33號,2020/1/16,桃園市政府警察局中壢分局,2020/1/3,2019/12/14,,臉書,選務謠言,『李進勇』叫印票廠商在『2號』『韓』的蓋章處印上一層薄薄的，肉眼難看以出來的蠟或油脂，讓蓋票章上的紅墨水乾不了，選票一折，很容易就花掉，變成廢票…殺人於無形，造成詐菜大勝，還可拿詐菜民調一路領先當佐證。,罰,2000元,
臺灣桃園地方法院裁定109年度壢秩字第15號,2020/1/17,桃園市政府警察局中壢分局,2020/1/3,2019/12/19,,臉書,選務謠言,中選會李進勇叫印票廠商在2號韓國瑜的圈章處印上一層薄薄的，但肉眼難以看出來的蠟或是油脂，讓蓋票章上的紅墨水乾不了，選票一折，很容易就糊掉，變成廢票；而3號蔡英文的圈章處則是正常、容易吸收紅墨水的紙張。如此可製造大量韓粉的票成為廢票，殺人於無形，造成詐菜大勝，還可拿詐菜民調一路領先當佐證。除非有人能把可疑的選票帶出來做化學驗證，而且能證明這選票是中選會印的，否則很難揭穿李進勇的詭計,罰,3000元,
臺灣桃園地方法院裁定109年度壢秩字第10號,2020/1/17,桃園市政府警察局龍潭分局,2020/1/6,2020/1/6,,臉書,施政謠言,中華民國109年1月2日午後3時總統令布告戒嚴命令,罰,3000元,
臺灣新北地方法院三重簡易庭裁定109年度重秩字第11號,2020/1/20,新北市政府警察局新莊分局,2019/12/25,2019/9/26,,PTT,批評執政者,現在是警察國家嗎噁心,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度店秩字第96號,2020/1/21,臺北市政府警察局文山第一分局,2019/10/18,2019/8/19,,臉書,其他,文山區是台北市性騷擾案件最多的地方,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣雲林地方法院刑事裁定108年度虎秩字第30號,2020/1/21,雲林縣警察局虎尾分局,2019/12/17,2019/11/6,,臉書,政治人物謠言,這是新上任的副校長，聽說含果魚找他當副手還被拒絕,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣南投地方法院裁定109年度投秩字第3號,2020/1/21,南投縣政府警察局集集分局,2020/1/8,2019/12/23,,臉書,施政謠言,今天晚上10點春安開始到2月11號晚上12點止，每天有臨檢及重大違規（全國全面加強取締，如：闖紅燈、無照駕駛、酒後駕車等）取締，騎車要小心,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度北秩字第533號,2020/1/22,臺北市政府警察局信義分局,2019/10/30,2019/8/22,,YouTube,施政謠言,電信機房裡頭都會放俗稱黑猩猩的國家機器,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第12號,2020/1/22,臺中市政府警察局東勢分局,2020/1/10,2019/12/22,,臉書,政治人物謠言,張貼風傳媒新聞於106年10月1日發表新聞所用「統促黨揮五星旗遊行」之照片,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定109年度重秩字第17號,2020/1/22,新北市政府警察局三重分局,2020/1/13,2019/11/1,,LINE,政治人物謠言,怎麼是民進黨成員和匪諜一起呢？在做栽贓嫁禍的討論吧？,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定109年度重秩字第9號,2020/1/22,新北市政府警察局三重分局,2019/12/31,2019/11/14,,臉書,政治人物謠言,國民黨竟然公開支持港警進入大學開槍，殺人，傷害學生？,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣南投地方法院裁定109年度埔秩字第2號,2020/1/22,桃園市政府警察局中壢分局,2020/1/3,2019/12/11,,臉書,施政謠言,大家留意一下，警察局警告，有一群人逐家逐戶拍門，假裝是【內政部】官員。他們持有【內政部】信箋的文件，並聲稱要確認每個人都有一個有效的身分證件，為即將舉行的選舉（或公投）預備（或調查）。他們其實是入屋打劫。注意!政府「沒有」這個行動。請轉發到您朋友或左右的鄰居，朋友群聊。這班人無所不在，看起來好大方得體。請小心!請小心!,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定109年度中秩字第3號,2020/1/22,臺中市政府警察局太平分局,2019/12/27,2019/12/15,員警,臉書,施政謠言,本月20日開始紅燈右轉罰$5400，三次馬上吊銷駕照..，請看以下重罰項目：有車沒車的人都要看，本月20日開始，再提醒各位注意!!收到後記得轉發給親友們，(交通警察準備向全國違規人.徵收年終獎金!)本月20日起，馬上開始罰了不管你是騎機車或者是有消開汽車的---請注意!!全國(Taiwan)將實施紅燈越線處罰條例，凡是在等待紅燈時超出白色禁止越線者馬上處以900元的罰金。還有紅燈右轉$5400元(這是目前交通息傳來警察的重點工作之一)注意喔!!!本月20日起，沒有車的人，通知一下有車族吧！趕快通知你的親朋好友吧！最好印一張，能提醒自己。1.闖紅燈由0000-0000元，調為0000-0000元2.超速由0000-0000元，調為6000!+每超速1公里加罰100元!!若限速60，你開80，則需付8000！,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院岡山簡易庭裁定108年度岡秩字第56號,2020/1/30,高雄市政府警察局湖內分局,2019/10/1,2019/8/17,員警,PTT,政治人物謠言,也就是說他多忙多累都鏡頭下表演給你看而已、事實上這個市長就是在鬼混,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣花蓮地方法院簡易庭裁定109年度花秩字第5號,2020/1/30,花蓮縣警察局鳳林分局,2020/1/6,2019/10/27,,臉書,批評執政者,爛蔡的魔爪已經整個掌控大法官和縣市檢察長，反正要辦誰就辦誰，哪個檢察官敢不聽話！這些不學無術的綠營爛官員有恃無恐，個個都囂張跋扈目中無人，70天後就幫爛蔡政府辦告別式吧！讓這群畜生變成過街老鼠,不罰,,難認定是故意散播不實事實，是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院簡易庭裁定109年度竹秩字第15號,2020/1/30,新竹市警察局第三分局,2020/1/2,2019/11/25,,臉書,政治人物謠言,抓到了！王立強平時由民進黨眷養在香港，本來要在明年總統大選前幾天才對韓國瑜出奧步抹紅，因為反送中事件外逃到澳洲才曝光-與黃昆松和賈霸,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院簡易庭裁定109年度竹北秩字第4號,2020/1/30,新竹縣政府警察局竹北分局,2019/12/24,2019/12/19,,LINE,政治人物謠言,再提醒一次：明年1月11日選舉日，投票時會同時拿到一張「政黨票」，其中會有一個「軍公教聯盟黨」宣稱：以維護軍公教人員的尊嚴及相對付出應有的福利。請幫忙轉給你的在台親朋好友知道，千萬不要被他們騙了！「軍公教聯盟黨」是台聯及阿扁總統時代的親信組成的團體，也是空心蔡的外圍組織，要拉軍公教及退休人員的票，主要目的就是破壞泛藍團結。請大家告訴大家，千萬不要上當！「軍公教聯盟黨」的政黨票數愈多，所分配到的立法委員席次就會愈多。請努力儘快轉傳給身邊有軍公教身份的人,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院簡易庭裁定109年度沙秩字第4號,2020/1/30,臺中市政府警察局太平分局,2020/1/6,2019/12/14,,臉書,選務謠言,有消息傳來，今年投票，中選會使用油性印泥，不容易乾，蓋完選票折疊時會染到旁邊，開票時祇要是韓國瑜就是廢票，蔡X文就是有效票，如此做弊太無恥，大家告訴大家，廣傳出去，投票時要注意！稍為吹乾再折疊！,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院板橋簡易庭裁定109年度板秩字第41號,2020/1/30,新北市政府警察局中和分局,2020/1/13,2019/12/23,,臉書,政治人物謠言,韓導沒有經過父母同意，就對嬰孩又親又抱,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度壢秩字第21號,2020/1/30,桃園市政府平鎮分局,2020/1/16,2019/12/27,,臉書,批評執政者,主導二顆子彈的DPP新潮流!!!法辦貪污人員!!!,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
